modelo,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.8454609429978888,0.7501771584754293,0.8466583676877036,0.7788718726557848,0.9234793982398948
LinearSVC,0.8474313863476425,0.751559486069034,0.8449953415865152,0.7801435049963308,0.9228349534841727
KNN,0.8077410274454611,0.7147577765704298,0.8171542145982477,0.7376344675319572,0.8861485795886086
DecisionTree,0.8267417311752288,0.729548738318156,0.8232492147930713,0.7552210319330511,0.8232492147930713
